,precision,recall,f1-score,support
AMCREST WiFi Camera,0.989764211295924,0.9981566820276498,0.9939427312775331,5425.0
Amazon Alexa Echo Dot 1,0.48439427553130054,0.4157239918821142,0.4474231566443233,11333.0
Amazon Alexa Echo Dot 2,0.3699429051237785,0.5582953093630224,0.44500394490224426,10958.0
Amazon Alexa Echo Spot,0.12028398684187895,0.8984059666569173,0.21216239702318412,13676.0
Amazon Alexa Echo Studio,0.828637133622841,0.738090757762177,0.7807473619865839,13817.0
Amazon Plug,1.0,1.0,1.0,1473.0
Arlo Base Station,0.9864589961785122,0.9877039574506445,0.9870810818611542,11093.0
Arlo Q Camera,0.990888406246768,0.9713390648444788,0.9810163521497394,98636.0
Atomi Coffee Maker,0.17335037721348243,0.030937950937950938,0.05250525158303114,6930.0
Borun/Sichuan-AI Camera,0.9973681879810457,0.9737296770478003,0.9854071879547792,22573.0
DCS8000LHA1 D-Link Mini Camera,0.5085386883025432,0.9954832881662149,0.6502251926315574,1107.0
Eufy HomeBase 2,0.6692265342939787,0.8918716444000501,0.7646280244711945,8009.0
Globe Lamp ESP_B1680C,0.31503753967409903,0.8849176924217709,0.46465448870297027,6743.0
Google Nest Mini,0.9014534823519427,0.9926439840334537,0.9448535605722993,21044.0
Gosund ESP_032979 Plug,0.7852846494569797,0.8884101040118871,0.8336703069471243,6730.0
Gosund ESP_039AAF Socket,0.10788744217470499,0.008587503701510216,0.015908717310564993,6754.0
Gosund ESP_0C3994 Plug,0.02069548569528246,0.021052631578947368,0.020872530781289894,6745.0
Gosund ESP_10098F Socket,0.13817896389324963,0.003988183161004431,0.007752605775277273,6770.0
Gosund ESP_10ACD8 Plug,0.00774118638513039,0.007118493252261606,0.007416792865781094,6743.0
Gosund ESP_147FF9 Plug,0.015578048677967526,0.014941333729392544,0.015253049301572008,6733.0
Gosund ESP_1ACEE1  Socket,0.021241911736041934,0.022014814814814813,0.02162145789626938,6750.0
HeimVision Smart WiFi Camera,0.9988392338943702,0.9885123492245835,0.99364896073903,13928.0
HeimVision SmartLife Radio/Lamp,0.13658768083249556,0.2017942886024766,0.1599026147381287,7914.0
Home Eye Camera,0.9607350451352309,0.9073624017155112,0.9332862794292687,27980.0
Luohe Cam Dog,0.6027242288709631,0.8343253968253969,0.6998616426653071,3024.0
Nest Indoor Camera,0.0,0.0,0.0,84549.0
Netatmo Camera,0.8538208710870346,0.9981598131502583,0.9200810676342772,14129.0
Netatmo Weather Station,0.6060702764405781,0.7638757240652975,0.6153036657747978,1899.0
Philips Hue Bridge,0.9465156709823439,0.9977473751193127,0.9714565402239403,15715.0
Ring Base Station AC:1236,0.2663936767062455,0.00680517916290274,0.013271252577167663,3321.0
SIMCAM 1S (AMPAKTec),0.9972868110623082,0.897335814460128,0.9446746723062128,22033.0
Smart Board,0.9776997230946309,0.05548387096774193,0.1050050061454314,8060.0
Sonos One Speaker,0.705720067562994,0.7981264637002342,0.7490841789393677,3843.0
Teckin Plug 1,0.2137695508360024,0.022269526772556083,0.04033693251719864,6107.0
Teckin Plug 2,0.14826634367130972,0.01695253955037469,0.030426192129102237,6005.0
Yutron Plug 1,0.188355380545203,0.6660491855637176,0.2921498671914081,6262.0
Yutron Plug 2,0.26679587099252894,0.18185019206145966,0.14670645259332415,6248.0
iRobot Roomba,0.9923076923076923,0.8812980358667806,0.9335142469470827,1171.0
accuracy,0.615271264861488,0.615271264861488,0.615271264861488,0.615271264861488
macro avg,0.5340484351762995,0.5663516102119158,0.5047593622418295,512230.0
weighted avg,0.6007496393004594,0.615271264861488,0.582771737138134,512230.0
