,precision,recall,f1-score,support
AMCREST WiFi Camera,0.9978768606326771,0.9985209089686702,0.9981987801929335,7437.0
Amazon Alexa Echo Dot,0.8221742445063469,0.949537812519387,0.8812758546333509,32238.0
Amazon Alexa Echo Spot,0.2514112074651004,0.8282251276583805,0.3857318838244651,17821.0
Amazon Alexa Echo Studio,0.8671507839075261,0.8227096057745698,0.8443457554393994,18010.0
Amazon Plug,1.0,1.0,1.0,1991.0
Arlo Base Station,0.9546222119135688,0.6512785477259418,0.7743006034447084,10246.0
Arlo Q Camera,0.1233264176509264,0.10900354071825999,0.11572340676737056,3954.0
Atomi Coffee Maker,0.9179425376002361,0.8452031839128613,0.880072413029707,9548.0
Borun/Sichuan-AI Camera,0.9836592315276045,0.9633192484042075,0.9733829943868667,22246.0
D-Link Mini Camera,0.9736668861092823,1.0,0.9866577718478984,1479.0
Eufy HomeBase 2,0.7064495873205782,0.9242643076367575,0.8007912400989108,11078.0
Globe Lamp ESP_B1680C,0.3302328681032326,0.8607389801210026,0.4773316888372247,9256.0
Google Nest Mini,0.8708060017312007,0.9755433650440942,0.9202039726438169,28802.0
Gosund Plug,0.6956088417294811,0.7637485849819416,0.7280879357082052,37102.0
Gosund Socket,0.06026893469540551,0.020153978989782703,0.03020678480502522,27796.0
HeimVision Smart WiFi Camera,0.9994145510671137,0.996656228437981,0.9980334839224023,18841.0
HeimVision SmartLife Radio/Lamp,0.1410126651359689,0.13645688938175768,0.1386973734822126,10821.0
Home Eye Camera,0.9657622993099455,0.873482562627184,0.917307472726091,28502.0
Luohe Cam Dog,0.6901197604790419,0.7824927255092143,0.7334090909090909,4124.0
Nest Indoor Camera,0.0,0.0,0.0,41222.0
Netatmo Camera,0.8855087762431493,0.9972200469851215,0.9380501922428547,5108.0
Netatmo Weather Station,0.9389864225394551,0.9810852713178295,0.9595448208947145,2580.0
Philips Hue Bridge,0.9704144949118888,0.7861422769131781,0.8686128143606149,24867.0
Ring Base Station,0.710854136277207,0.04028405422853454,0.07624244899960822,4647.0
SIMCAM 1S (AMPAKTec),0.9037430749163468,0.9973107952362659,0.9465822544043581,28633.0
Smart Board,0.6576131402071864,0.13693181818181818,0.2266637092256004,1408.0
Sonos One Speaker,0.6864321816087904,0.8485133609333836,0.7397310934042565,5314.0
Teckin Plug,0.32920868794514674,0.08458390177353342,0.13458797907897882,16859.0
Yutron Plug,0.4858122995199926,0.861849678044333,0.6213682375518332,17549.0
iRobot Roomba,0.9923451635351427,1.0,0.9961578763534755,1426.0
accuracy,0.6871992991871902,0.6871992991871902,0.6871992991871902,0.6871992991871902
macro avg,0.6970808089529847,0.7078418934008665,0.6697099977738658,450905.0
weighted avg,0.6495116547097929,0.6871992991871902,0.6478139592291647,450905.0
