,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,6018,23,436,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0
1,0,9134,34388,222,297,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2,0,8718,39158,288,308,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,3,0,0,0,0,1
3,1,851,510,13920,3991,0,0,2,0,4,55,7,0,6,0,0,0,0,0,0,0,0,11,6,204,16,0,38,0,1,40,95,0,0,0,0,114
4,2,233,433,1112,13146,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,1
5,0,3,168,14,3,1957,0,0,5,0,0,4,125,0,0,0,0,0,13,3,0,19,0,0,0,0,0,2,0,0,0,33,2,40,0,0,1
6,0,10,2677,0,1,0,2055,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,1,17166,0,0,1,0,0,321,0,0,0,0,0
7,0,0,4,0,0,0,0,37359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
8,0,0,0,0,0,0,0,0,5928,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,29,0,0,0,0,0,135,138,80,78,0
9,0,2,0,0,0,0,0,0,0,23476,0,0,0,15,0,0,0,0,0,0,115,0,582,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,7060,0,0,0,0,0,0,0,0,0,0,360,552,0,0,0,0,0,0,0,4,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,6012,0,139,96,133,77,236,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,0,23,591,62,20,0,0,0,0,41,9,0,0,16709,0,0,0,0,0,0,4,0,24,2,2,2,0,8,36,3,12,267,0,0,0,0,1
14,0,0,0,0,0,0,0,0,0,0,0,0,282,0,5899,101,119,68,217,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,238,0,146,5866,131,83,226,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,276,0,156,89,5875,78,230,30,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,264,0,149,91,134,5843,242,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,245,0,151,109,131,82,5992,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,289,0,149,105,122,80,206,5790,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,4,0,0,0,9174,0,0,0,0,0,0,4607,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,7315,0,0,0,0,47,0,0,0,0,0,91,98,66,55,0
22,0,0,0,1,0,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,30692,332,0,0,0,0,0,0,0,7,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,172,2197,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26280,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8988,0,0,0,0,0,10,0,0,0,0,0
26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1777,5,0,0,6,3,2,4,3,2,0
27,0,3,472,3,1,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13283,0,0,4,1,0,0,0,0,7
28,0,0,1,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3147,3,0,8,0,0,0,0,56
29,0,0,0,2,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,21052,6,0,0,0,0,0,0
30,3,41,347,788,646,1,1,0,0,10,26,0,0,31,0,0,0,0,0,0,1,0,2,0,3,115,2,13,0,0,4041,62,0,0,0,0,13
31,0,28,574,118,72,0,75,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,96,0,0,388,0,1,9,1,28,5435,0,0,0,0,3
32,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,31,2,0,0,0,0,5109,115,67,79,0
33,0,0,0,0,0,0,0,0,195,1,0,0,0,0,2,0,0,0,0,0,0,532,0,0,0,0,30,1,0,0,0,0,142,5055,67,84,0
34,0,0,0,0,0,0,0,0,222,1,0,0,0,0,3,0,0,1,0,0,0,542,0,0,0,8,193,1,0,0,0,0,181,3664,1519,117,0
35,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,27,0,0,0,0,0,132,119,5413,105,0
36,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1141
