,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,7467,265,2,3,0,2,5,0,495,0,0,0,2,0,0,0,0,0,0,0,1,0,14,0,0,266,1,0,0,0
1,0,29314,246,368,0,0,14,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1
2,0,155,14400,2397,0,0,15,0,0,4,0,0,5,0,0,0,0,8,9,0,0,0,1,0,0,108,114,0,0,0
3,0,653,1693,14772,0,0,15,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,202,0,0,0,0
4,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,137,0,0,0,2883,788,0,0,0,7,0,5,0,0,0,0,0,0,0,2969,0,4,0,0,0,6,0,0,0
6,0,13,26,34,0,293,445,0,61,7,0,0,44996,0,0,0,0,0,0,0,0,0,34,627,0,800,27,0,0,0
7,0,0,0,0,0,0,0,8025,0,0,0,0,0,0,0,0,399,0,0,0,0,33,0,0,0,0,0,585,493,0
8,0,1,0,0,0,1,2,0,33691,0,0,0,437,0,0,1,0,848,0,0,0,0,6,0,0,3,0,0,0,0
9,0,0,0,0,0,3,0,0,2,1461,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,0,0,0,0,0,2,0,0,0,9818,0,0,0,0,0,0,415,723,0,0,0,0,0,3,50,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0,0,7972,0,1105,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,156,87,22,0,922,1236,0,27,1,0,0,36528,0,0,4,0,21,0,0,66,0,9,62,43,1149,52,0,0,15
13,0,0,0,0,0,0,0,0,4,0,0,200,0,36107,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,3,0,0,145,0,3296,24325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,6,0,0,0,1,0,19,0,0,0,0,0,0,18758,0,0,0,0,1,0,2,0,0,22,0,3,0,0
16,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,9387,0,0,0,0,60,0,0,0,0,0,507,737,0
17,0,0,0,0,0,0,0,0,3,0,2700,0,0,0,0,0,0,25691,408,0,0,0,0,0,0,0,5,0,0,0
18,0,0,0,0,0,0,0,0,2,0,1131,0,0,0,0,0,0,66,2950,0,1,0,0,0,3,0,0,0,0,0
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11704,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5114,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,7,0,0,0,0,0,8,93,0,408,0,0,0,0,1861,0,0,0,0,0,43,127,0
22,0,5,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24859,0,0,0,0,0,0,0
23,0,33,17,8,0,19,3517,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,585,190,0,303,18,0,0,9
24,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,28572,0,44,0,0,0
25,0,0,52,24,0,0,0,0,2181,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,1015,0,0,0,0
26,0,184,24,2,0,822,180,0,0,1,1,0,11,0,0,0,0,0,0,0,44,0,1,0,10,692,4956,0,0,0
27,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,764,0,0,0,0,61,0,0,0,0,0,14721,1004,0
28,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,755,0,0,0,0,65,0,0,0,0,0,1035,15611,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427
