,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,7995,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1,0,11078,3689,201,151,0,0,25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0
2,0,9710,4856,244,149,0,0,18,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,27,0,0,0,0,0,0
3,10,117,122,17049,1976,0,0,14,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,3,4,0,0,0,12,1,0,87,20,0,0,0,0,0
4,0,377,327,1303,17458,0,0,20,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,29,2,0,0,0,0,0
5,0,0,0,0,0,2042,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6,0,3903,16,0,0,0,2769,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,4,36,0,0,0,0,0
7,0,3775,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0
8,0,0,0,0,0,0,0,0,6597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0,30,0,0,0,0,0,278,1682,95,86,0
9,0,5,0,10,10,0,1,0,0,34209,0,0,6,0,271,0,0,0,0,0,0,0,0,0,868,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4,0,0,0,0,2,0,0,0,0
11,0,0,1,0,0,0,0,1,0,0,0,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,4,0,0,0,0,9495,0,0,0,0,0,0,0,0,0,1,0,876,657,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,260,0,8077,147,217,267,143,65,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,58,1,102,33,0,0,115,0,47,0,10,6,0,19659,0,0,0,0,0,0,0,0,0,25,10,0,19,0,23,44,5,49,15,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,1,0,0,273,0,160,139,218,8180,153,74,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,1,0,0,247,0,160,140,230,249,152,7979,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,247,0,8067,116,228,266,169,67,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,262,0,163,134,216,246,167,7981,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1,0,0,264,0,164,136,205,259,164,7971,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,1,0,0,251,0,8070,140,225,246,164,67,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,1,0,0,260,0,153,143,224,268,138,47,8015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,4,0,6105,1,0,0,0,0,0,0,0,0,0,12697,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168,0,0,0,0,58,0,0,0,0,0,199,98,8020,80,0
24,0,0,0,0,0,0,0,0,0,21,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,20726,960,0,0,0,0,0,0,1,4,0,0,0,0,0
