,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,7461,252,254,5,4,0,0,5,0,497,2,3,0,10,0,0,0,0,0,0,0,2,0,0,0,0,12,0,10,0,0,2,3,0,0,0,0,0
1,0,9636,4922,117,399,0,0,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,0,9152,5186,176,340,0,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
3,1,50,54,15484,1437,0,0,16,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,8,9,3,1,0,12,0,0,23,108,0,0,0,0,0
4,1,261,80,2043,14513,0,0,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,415,0,4,0,0,0,0,0,0
5,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,137,0,0,0,0,2886,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2971,0,3,0,0,1,11,0,0,0,0,0
7,0,146,8,34,0,0,19,324,0,1,0,0,0,44998,0,0,0,0,0,0,0,0,0,0,0,2,0,0,26,1422,7,357,20,0,0,0,0,0
8,0,0,0,0,0,0,0,0,6744,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,0,0,0,0,57,0,0,0,0,0,112,111,101,86,0
9,0,2,0,2,0,0,0,0,0,34561,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,2
10,0,0,0,0,0,0,0,0,0,2,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,2,0,1,8,9870,0,0,0,0,0,0,0,0,0,0,0,0,1098,0,32,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,334,0,8126,182,143,149,147,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,136,13,263,32,0,945,929,0,40,21,0,0,19715,0,0,0,0,0,0,0,10,0,34,0,239,67,0,10,41,17864,3,40,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,8238,0,199,185,149,144,165,87,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,324,0,203,188,158,8073,142,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,8239,0,225,185,154,146,160,72,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
