,precision,recall,f1-score,support
AMCREST WiFi Camera,1.0,0.9984002133048927,0.999199466310874,7501.0
Amazon Alexa Echo Dot,0.9647248599951302,0.9865849103585658,0.9755324387541547,32128.0
Amazon Alexa Echo Spot,0.9550989820770625,0.8533645798459993,0.9013702666863121,17922.0
Amazon Alexa Echo Studio,0.8678013163307281,0.9329979545580187,0.8992194368223354,18089.0
Amazon Plug,1.0,1.0,1.0,1994.0
Arlo Base Station,0.989002823599346,0.9775264394829613,0.9832311442712566,6808.0
Arlo Q Camera,0.998950406717397,0.9921813917122753,0.9955543933054394,3837.0
Atomi Coffee Maker,0.964344166471826,0.8651284740429995,0.9120459948034718,9535.0
Borun/Sichuan-AI Camera,0.9912293439433102,0.9754501286081737,0.9832764357633638,34990.0
D-Link Mini Camera,1.0,1.0,1.0,1501.0
Eufy HomeBase 2,0.7318230852211435,0.9151079136690647,0.8132667332667334,11120.0
Globe Lamp ESP_B1680C,0.986148565824957,0.8696357150578315,0.924234591303349,9251.0
Google Nest Mini,0.9945100958406996,0.9928471899674871,0.9936779471922648,32295.0
Gosund Plug,0.900081495567135,0.9831409149762624,0.9397795397408626,37072.0
Gosund Socket,0.9766657407039961,0.8862441483615411,0.9292605108648455,27770.0
HeimVision Smart WiFi Camera,1.0,0.9994689607561998,0.999734409858706,18831.0
HeimVision SmartLife Radio/Lamp,0.8120783281224287,0.9132124352331606,0.8596812124379409,10808.0
Home Eye Camera,0.9530654593472929,0.8882208157524614,0.9195013195013196,28440.0
Luohe Cam Dog,0.7930951810117478,0.7973005543504459,0.7951923076923076,4149.0
Nest Indoor Camera,0.9999754360108082,0.9942361704725851,0.9970975445471802,40945.0
Netatmo Camera,0.9994228549442093,0.9990384615384615,0.9992306212733217,5200.0
Netatmo Weather Station,0.9081979599546657,0.9736735520453624,0.9397967161845193,2469.0
Philips Hue Bridge,0.999651345226335,0.9994771089937252,0.9995642195171552,17212.0
Ring Base Station,0.9987012987012986,0.9835855894265615,0.9910858124798626,4691.0
SIMCAM 1S (AMPAKTec),0.9999300136473387,0.9976956111867603,0.9988115627949249,28641.0
Sonos One Speaker,0.9585108353398779,0.9714661160127651,0.9649449934738021,5327.0
Teckin Plug,0.8949273212696529,0.9023150086738051,0.8986059811747886,16717.0
Yutron Plug,0.9123432578593926,0.889197799015349,0.9006218467675702,17265.0
iRobot Roomba,0.9959758551307847,0.99,0.9929789368104313,1500.0
accuracy,0.9517299254638685,0.9517299254638685,0.9517299254638685,0.9517299254638685
macro avg,0.9498708975468471,0.9492240743932318,0.9484998752965204,454008.0
weighted avg,0.954492206428992,0.9517299254638685,0.9521157538735732,454008.0
