,precision,recall,f1-score,support
AMCREST WiFi Camera,0.9901261656609983,0.9981566820276497,0.9941252065357077,5425.0
Amazon Alexa Echo Dot 1,0.12958155633846344,0.7399629400864731,0.22054201896145906,11333.0
Amazon Alexa Echo Dot 2,0.06301848049281314,0.28006935572184705,0.10288645278085083,10958.0
Amazon Alexa Echo Spot,0.11865098465981626,0.8291167007897046,0.20759414877061935,13676.0
Amazon Alexa Echo Studio,0.7446665853955869,0.8842006224216545,0.8084571352943123,13817.0
Amazon Plug,1.0,0.9993211133740665,0.999660441426146,1473.0
Arlo Base Station,0.908675799086758,0.44848102406923285,0.6005552873008209,11093.0
Arlo Q Camera,0.7574742268041237,0.02979642321262014,0.05733739123648991,98636.0
Atomi Coffee Maker,0.889389840697325,0.8539682539682539,0.8713191990577149,6930.0
Borun/Sichuan-AI Camera,0.983005366726297,0.9737296770478004,0.9783455366879578,22573.0
DCS8000LHA1 D-Link Mini Camera,0.9981360671015843,0.967479674796748,0.9825688073394496,1107.0
Eufy HomeBase 2,0.7096226791774806,0.8876264202771882,0.7887058301436735,8009.0
Globe Lamp ESP_B1680C,0.8494978479196557,0.87809580305502,0.8635601254284255,6743.0
Google Nest Mini,0.7487820604671156,0.9932997528986884,0.8538807189542483,21044.0
Gosund ESP_032979 Plug,0.9078047263681592,0.8676077265973254,0.8872511776325787,6730.0
Gosund ESP_039AAF Socket,0.8566245827891452,0.8740005922416346,0.8652253572737266,6754.0
Gosund ESP_0C3994 Plug,0.8657658980760757,0.8739807264640475,0.8698539176626826,6745.0
Gosund ESP_10098F Socket,0.8404481633810807,0.8753323485967504,0.8575356341798712,6770.0
Gosund ESP_10ACD8 Plug,0.8115211766308048,0.8837312768797271,0.8460883146386483,6743.0
Gosund ESP_147FF9 Plug,0.9331194867682437,0.8641021832763999,0.8972856261566934,6733.0
Gosund ESP_1ACEE1  Socket,0.9552731473840568,0.8574814814814815,0.9037395581231946,6750.0
HeimVision Smart WiFi Camera,0.9982588508415554,0.9879379666858128,0.9930715935334873,13928.0
HeimVision SmartLife Radio/Lamp,0.6992231906025009,0.9326509982309831,0.7992420140768814,7914.0
Home Eye Camera,0.9496399203227949,0.6645103645461043,0.7818919657688346,27980.0
Luohe Cam Dog,0.6366076221148685,0.7843915343915344,0.7028148148148148,3024.0
Nest Indoor Camera,0.0,0.0,0.0,84549.0
Netatmo Camera,0.6798796759012178,0.9917899355934603,0.8067357512953368,14129.0
Netatmo Weather Station,0.8272138228941684,0.8067403896787783,0.8168488403092508,1899.0
Philips Hue Bridge,0.6855690433410754,0.9954820235443843,0.8119582706181553,15715.0
Ring Base Station AC:1236,0.195703125,0.15085817524841916,0.17037918721305903,3321.0
SIMCAM 1S (AMPAKTec),0.9997135628013558,0.9504379793945446,0.9744532340623546,22033.0
Smart Board,0.9826156726397433,0.45583126550868486,0.6227646410712772,8060.0
Sonos One Speaker,0.6834852660589358,0.838927920895134,0.7532710280373832,3843.0
Teckin Plug 1,0.8303643074947842,0.8472244964794499,0.838709677419355,6107.0
Teckin Plug 2,0.9238113066267316,0.8218151540383014,0.8698334361505244,6005.0
Yutron Plug 1,0.9248482684755445,0.8273714468221016,0.8733985165205664,6262.0
Yutron Plug 2,0.9475524475524476,0.8241037131882202,0.881527135764424,6248.0
iRobot Roomba,0.9134304207119741,0.964133219470538,0.9380972164520149,1171.0
accuracy,0.5408605509243894,0.5408605509243894,0.5408605509243894,0.5408605509243894
macro avg,0.7615552985606652,0.7816775621842306,0.739250400228763,512230.0
weighted avg,0.6451606314026165,0.5408605509243894,0.5070238336219898,512230.0
