,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,7746,263,3,1,0,0,0,0,489,0,4,0,8,0,0,0,0,0,0,0,3,0,2,0,0,3,3,0,0,0
1,3,29223,80,642,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,261,13950,2764,0,0,0,0,0,0,0,0,5,0,0,0,0,8,9,0,0,0,1,81,0,22,109,0,0,0
3,0,792,1215,15321,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,2,0,3,1,0,0,0
4,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,137,0,0,0,2883,0,0,7,0,13,0,782,0,0,0,0,0,5,0,2969,0,0,0,0,0,3,0,0,0
6,0,4,46,34,0,26,291,0,845,0,17,0,45141,0,0,0,0,0,0,0,2,0,29,905,0,1,22,0,0,0
7,0,0,0,0,0,0,0,8058,0,0,0,0,0,0,0,0,438,0,0,0,0,30,0,0,0,0,0,542,469,0
8,0,2,0,0,0,0,0,0,33718,0,0,0,425,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,2,0,0,2,1461,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,9613,0,0,0,0,0,0,424,975,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,7960,0,1107,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,195,100,154,0,920,956,0,976,0,1,0,36745,0,0,4,0,37,0,0,69,0,2,53,6,6,173,0,0,2
13,0,0,0,0,0,0,0,0,0,0,0,145,0,36156,765,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,97,0,3379,24292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,18289,0,0,0,0,514,0,2,0,0,1,3,0,0,0
16,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,9531,0,0,0,0,57,0,0,0,0,0,463,634,0
17,0,0,0,0,0,0,0,0,0,0,2748,0,0,0,0,0,0,25682,372,0,0,0,0,0,0,0,5,0,0,0
18,0,0,0,0,0,0,0,0,2,0,831,0,0,0,0,0,0,201,3115,0,1,0,0,0,3,0,0,0,0,0
19,0,0,2448,0,0,0,0,0,39,0,0,0,0,0,0,9218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5108,0,0,0,0,0,2,0,0,0
21,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,26,0,0,0,0,2474,0,0,0,0,0,16,21,0
22,0,14,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24850,0,0,1,0,0,0,0
23,0,30,2,6,0,1,4313,0,0,0,0,0,37,0,0,1,0,0,0,0,0,0,0,307,0,0,16,0,0,9
24,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,28572,0,44,0,0,0
25,1,0,129,26,0,0,0,0,1,0,230,0,457,0,0,1809,0,0,0,0,1,41,0,0,3,453,141,0,0,0
26,1,354,691,8,0,823,0,0,0,0,0,0,12,0,0,0,0,0,1,0,43,0,1,15,0,0,4980,0,0,0
27,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,902,0,0,0,0,60,0,0,0,0,0,14690,877,0
28,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,898,0,0,0,0,63,0,0,0,0,0,1028,15494,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427
