,precision,recall,f1-score,support
AMCREST WiFi Camera,1.0,1.0,1.0,7921.0
Amazon Alexa Echo Dot,0.9158323672240345,1.0,0.9548045835051628,17840.0
Amazon Alexa Echo Spot,0.94807077578366,0.9300872093023257,0.9388685358772058,19264.0
Amazon Alexa Echo Studio,0.9661186322252704,0.9999917673790628,0.982746614164278,121468.0
Amazon Plug,1.0,1.0,1.0,2001.0
Arlo Base Station,0.9958408167123547,0.2694103911266783,0.42404547800648773,6852.0
Arlo Q Camera,0.4223802379311025,1.0,0.5938308245812471,3822.0
Atomi Coffee Maker,0.0,0.0,0.0,9538.0
Borun/Sichuan-AI Camera,0.9992730797189242,1.0,0.9996364077081565,32992.0
D-Link Mini Camera,1.0,1.0,1.0,1462.0
Eufy HomeBase 2,0.9817413626363836,1.0,0.9907857206198463,11042.0
Globe Lamp ESP_B1680C,0.0,0.0,0.0,9257.0
Google Nest Mini,1.0,0.9090618735347084,0.9523635964530894,29431.0
Gosund Plug,0.600125291627063,0.7499257659603186,0.6667146645547596,37045.0
Gosund Socket,0.0,0.0,0.0,18511.0
HeimVision Smart WiFi Camera,0.9310711155298701,0.9999505757920228,0.9634120187506598,20233.0
HeimVision SmartLife Radio/Lamp,0.0027185278126306985,0.002399630826026765,0.0025491445659100937,10835.0
Home Eye Camera,0.999186979299069,1.0,0.9995933161704867,28757.0
Luohe Cam Dog,0.9906091981699976,0.9449072959306527,0.9670838062072722,4153.0
Nest Indoor Camera,1.0,0.9969815876848778,0.9984885126964933,6626.0
Netatmo Camera,1.0,0.933170134638923,0.9654297717169629,7353.0
Netatmo Weather Station,1.0,1.0,1.0,2471.0
Philips Hue Bridge,0.9712612761164892,1.0,0.9854208042433962,17046.0
Ring Base Station,0.4,0.0010853683990816115,0.0021648626144879267,4791.0
SIMCAM 1S (AMPAKTec),1.0,1.0,1.0,28622.0
Smart Board,1.0,0.8568181818181818,0.9228212388725409,352.0
Sonos One Speaker,1.0,0.9988679245283019,0.9994334277620396,6890.0
Teckin Plug,0.6219307450157397,1.0,0.7669017273727115,17781.0
Yutron Plug,1.0,1.0,1.0,17895.0
iRobot Roomba,1.0,1.0,1.0,1432.0
accuracy,0.8570640660891872,0.8570640660891872,0.8570640660891872,0.8570640660891872
macro avg,0.7915386801934197,0.7864219235640387,0.7692365018814399,503683.0
weighted avg,0.8341257811046152,0.8570640660891872,0.8373739739760259,503683.0
