,precision,recall,f1-score,support
AMCREST WiFi Camera,1.0,1.0,1.0,5425.0
Amazon Alexa Echo Dot,0.9274911666481767,1.0,0.9623802771734411,22291.0
Amazon Alexa Echo Spot,0.8326430940769945,0.999809885931559,0.9084785211937483,13676.0
Amazon Alexa Echo Studio,0.9757962422905034,0.9456177173047695,0.9602839397270879,13817.0
Amazon Plug,1.0,1.0,1.0,1473.0
Arlo Base Station,1.0,0.04312629586225547,0.08268333119826546,11093.0
Arlo Q Camera,0.9962191795427893,1.0,0.99810585893844,98636.0
Atomi Coffee Maker,0.0,0.0,0.0,6930.0
Borun/Sichuan-AI Camera,0.9962398506123537,1.0,0.9981163642570969,22573.0
D-Link Mini Camera,1.0,1.0,1.0,1107.0
Eufy HomeBase 2,0.9916356754333442,1.0,0.9957988863988906,8009.0
Globe Lamp ESP_B1680C,0.0,0.0,0.0,6743.0
Google Nest Mini,0.9347516760688974,1.0,0.9662748690633366,21044.0
Gosund Plug,0.49950846210877636,0.7503691885273274,0.5997639160265051,26951.0
Gosund Socket,0.5009717921542027,0.33313603630265365,0.4001682816247209,20274.0
HeimVision Smart WiFi Camera,1.0,1.0,1.0,13928.0
HeimVision SmartLife Radio/Lamp,0.37209470242349885,1.0,0.5423745594374266,7914.0
Home Eye Camera,1.0,0.9970264474624733,0.9985109969254264,27980.0
Luohe Cam Dog,1.0,0.9957010582010583,0.9978458989229495,3024.0
Nest Indoor Camera,0.0,0.0,0.0,84549.0
Netatmo Camera,0.589028081876423,1.0,0.741368799150747,14129.0
Netatmo Weather Station,0.9312014456132104,0.5435492364402317,0.6860599706585694,1899.0
Philips Hue Bridge,1.0,0.9958638243716195,0.9979276263350869,15715.0
Ring Base Station,0.0,0.0,0.0,3321.0
SIMCAM 1S (AMPAKTec),1.0,1.0,1.0,22033.0
Smart Board,1.0,0.37828784119106695,0.5482437100270146,8060.0
Sonos One Speaker,0.5225220518969537,1.0,0.6853380451673774,3843.0
Teckin Plug,0.0,0.0,0.0,12112.0
Yutron Plug,0.0,0.0,0.0,12510.0
iRobot Roomba,0.013652905945021249,1.0,0.026938029033502602,1171.0
accuracy,0.6801819495148663,0.6801819495148663,0.6801819495148663,0.6801819495148663
macro avg,0.6694585442230382,0.6994162510531672,0.6365553960419877,512230.0
weighted avg,0.6684987447647244,0.6801819495148663,0.6547588785444061,512230.0
