,precision,recall,f1-score,support
AMCREST WiFi Camera,0.9775515252067326,1.0,0.9886326496934803,5758.0
Amazon Alexa Echo Dot,0.992599036257106,1.0,0.9962855394661686,21617.0
Amazon Alexa Echo Spot,0.7159205505702122,0.9725289152860268,0.8247153673491414,15995.0
Amazon Alexa Echo Studio,0.8804805512814877,1.0,0.936440031377882,14077.0
Amazon Plug,1.0,0.9993531694695988,0.9996764801035264,1546.0
Arlo Base Station,1.0,0.527880318632213,0.690981186998717,5147.0
Arlo Q Camera,0.4,0.00015014581468541564,0.00030017895283726835,34633.0
Atomi Coffee Maker,0.20724725110269743,1.0,0.34333853057412095,6941.0
Borun/Sichuan-AI Camera,0.9901095308157594,1.0,0.9950301885242535,24226.0
D-Link Mini Camera,1.0,1.0,1.0,1087.0
Eufy HomeBase 2,0.8862508647020826,1.0,0.9394764936638635,8067.0
Globe Lamp ESP_B1680C,0.33283862669437025,1.0,0.49944324845965404,6728.0
Google Nest Mini,0.9885703053980033,1.0,0.994251517575478,20683.0
Gosund Plug,0.7503245669349753,0.749629410020753,0.7499768273918765,26984.0
Gosund Socket,0.0,0.0,0.0,20217.0
HeimVision Smart WiFi Camera,1.0,0.8332374928119609,0.9067851037226837,29563.0
HeimVision SmartLife Radio/Lamp,0.003356059404894033,0.0026402640264026403,0.002955438016190393,7878.0
Home Eye Camera,1.0,0.9987720209701034,0.9993856332703214,21173.0
Luohe Cam Dog,1.0,0.8798283261802575,0.9360641859083483,3029.0
Nest Indoor Camera,0.9995411730591293,0.990899146795012,0.9952013532422572,22855.0
Netatmo Camera,0.9932877458556053,1.0,0.9966275522837819,5754.0
Netatmo Weather Station,1.0,0.9945320715036804,0.9972472207517205,1902.0
Philips Hue Bridge,0.9962128287877816,1.0,0.998102789487687,14362.0
Ring Base Station,0.0,0.0,0.0,3297.0
SIMCAM 1S (AMPAKTec),1.0,1.0,1.0,21163.0
Smart Board,1.0,0.08394039735099337,0.15477023188029743,6040.0
Sonos One Speaker,0.9453492705603248,0.9941166231505656,0.9691178550619517,5745.0
Teckin Plug,0.0,0.0,0.0,12276.0
Yutron Plug,0.6,0.0006190476190476191,0.0012368191548402445,12600.0
iRobot Roomba,0.33226354840357164,0.9991489361702127,0.42647798835048467,1175.0
accuracy,0.7082495464265735,0.7082495464265735,0.7082495464265735,0.7082495464265735
macro avg,0.7330634478344911,0.7342425428600504,0.6780840137087187,382518.0
weighted avg,0.7508587504313342,0.7082495464265735,0.6842837450481787,382518.0
