,precision,recall,f1-score,support
AMCREST WiFi Camera,1.0,0.9998788319399006,0.9999394122993032,8253.0
Amazon Alexa Echo Dot,0.9984305575271908,1.0,0.9992144159802839,33060.0
Amazon Alexa Echo Spot,1.0,0.9931190384297294,0.9965473506949797,18137.0
Amazon Alexa Echo Studio,0.8828311451637745,0.9992939770814099,0.9374552417223494,18413.0
Amazon Plug,1.0,1.0,1.0,2002.0
Arlo Base Station,1.0,0.5235404896421845,0.6872602092454018,6903.0
Arlo Q Camera,1.0,0.9510173323285607,0.9748931352345345,5308.0
Atomi Coffee Maker,0.20762393870538257,1.0,0.3438552809267798,9536.0
Borun/Sichuan-AI Camera,0.9997256839026054,1.0,0.9998628142707664,34982.0
D-Link Mini Camera,1.0,1.0,1.0,1462.0
Eufy HomeBase 2,0.9909330962959737,1.0,0.9954456465809358,11365.0
Globe Lamp ESP_B1680C,0.3330453252691075,1.0,0.4996759209247056,9251.0
Google Nest Mini,0.8940436862522345,0.9999651105993997,0.944031732687175,28662.0
Gosund Plug,0.750229197001564,0.7506340042087087,0.7504315460135937,37066.0
Gosund Socket,0.0,0.0,0.0,27789.0
HeimVision Smart WiFi Camera,1.0,0.9997842968075927,0.9998921367705748,4636.0
HeimVision SmartLife Radio/Lamp,0.006565039826863997,0.005045744385916274,0.005705985840321596,10821.0
Home Eye Camera,1.0,1.0,1.0,29025.0
Luohe Cam Dog,1.0,0.9805595754944525,0.9901839724689279,4146.0
Nest Indoor Camera,1.0,1.0,1.0,40778.0
Netatmo Camera,1.0,1.0,1.0,5213.0
Netatmo Weather Station,1.0,1.0,1.0,2501.0
Philips Hue Bridge,1.0,1.0,1.0,17281.0
Ring Base Station,0.8366719667775921,0.5183343955810494,0.640019868862319,4707.0
SIMCAM 1S (AMPAKTec),0.9998743674751353,1.0,0.9999371640019549,28637.0
Smart Board,0.0,0.0,0.0,1293.0
Sonos One Speaker,0.8644227564919695,0.9980794090489382,0.9261733781265271,5415.0
Teckin Plug,0.0,0.0,0.0,16675.0
Yutron Plug,0.0,0.0,0.0,17228.0
iRobot Roomba,1.0,1.0,1.0,1423.0
accuracy,0.7985320204177677,0.7985320204177677,0.7985320204177677,0.7985320204177677
macro avg,0.7588132253563131,0.7906417401849282,0.7563508404217145,441968.0
weighted avg,0.7656290253769342,0.7985320204177677,0.770999237876022,441968.0
